Employee_ID,Name,Age,Department,Salary,Years_at_Company,Performance_Score,Last_Promotion_Year,Training_Hours,Sick_Days,Work_Location,Gender,Job_Level,Education_Level
1,Charlie,22,HR,99298.89447803715,12,3.4697436083448965,2019,143,3.060512783310207,Hybrid,Female,Mid,Master's
2,Alice,57,HR,99409.40904167508,17,2.4688771272946752,2018,85,7.0622457454106495,Onsite,Other,Mid,PhD
3,Eve,31,Sales,131548.22698555805,14,2.8417790347500604,2019,102,4.316441930499879,Remote,Other,Mid,High School
4,Diana,23,Marketing,67356.75040022054,5,1.1913918976729194,2019,29,7.617216204654161,Hybrid,Female,Entry,PhD
5,Charlie,41,IT,130761.52536254333,15,3.404888581144008,2018,107,3.1902228377119837,Remote,Female,Senior,PhD
6,Bob,46,HR,56672.96588781962,1,3.6377108179716915,2019,77,4.724578364056617,Onsite,Female,Entry,High School
7,Alice,23,Marketing,,8,2.360569991642641,2018,90,6.278860016714718,Hybrid,Other,Manager,High School
8,Alice,25,Marketing,118433.50002811474,10,2.2190628716601024,2019,85,5.561874256679795,Remote,Female,Mid,Bachelor's
9,Alice,23,Sales,,11,2.867053304237529,2019,77,4.265893391524942,Hybrid,Other,Manager,PhD
10,Bob,31,Marketing,125054.04398918814,18,1.5720630019872908,2019,74,7.8558739960254185,Remote,Female,Mid,Bachelor's
11,Bob,56,Marketing,98784.07887294595,15,1.5396533927909017,2018,78,6.920693214418197,Hybrid,Female,Entry,Bachelor's
12,Eve,36,IT,80919.81210651228,10,3.1936899458723,2019,134,4.6126201082554,Onsite,Other,Mid,Bachelor's
13,Eve,45,Marketing,100604.64578749955,7,1.0,2019,33,10.0,Remote,Other,Senior,Bachelor's
14,Bob,59,IT,103464.69981309515,14,1.0509944413877128,2019,11,8.898011117224573,Onsite,Female,Entry,Bachelor's
15,Diana,46,HR,95452.27939685024,11,2.802082571213452,2019,84,5.395834857573096,Remote,Other,Mid,High School
16,Alice,44,Finance,,7,4.441052305193125,2023,158,2.11789538961375,Remote,Other,Manager,High School
17,Eve,40,Finance,98581.93335961316,11,4.827724710534163,2022,168,1.344550578931674,Onsite,Other,Mid,Bachelor's
18,Bob,51,HR,,10,3.61042300129845,2018,171,3.7791539974030997,Onsite,Female,Manager,High School
19,Eve,42,HR,102440.30057535057,9,4.4347128235650395,2023,181,3.130574352869921,Hybrid,Other,Mid,High School
20,Eve,44,Finance,,10,3.511559342120215,2019,124,2.97688131575957,Remote,Male,Manager,High School
21,Bob,31,Finance,79527.80346770611,6,1.3244082661837955,2018,37,7.351183467632409,Onsite,Female,Entry,Bachelor's
22,Alice,22,IT,109526.1831975042,14,2.960542772695668,2018,103,4.078914454608664,Onsite,Other,Senior,PhD
