Employee_ID,Name,Age,Department,Salary,Years_at_Company,Performance_Score,Last_Promotion_Year,Training_Hours,Sick_Days,Work_Location,Gender,Job_Level,Education_Level
1,Charlie,22,HR,38258,12,2.53,2019,143,3,Hybrid,Female,Mid,Master's
2,Alice,57,HR,52349,17,4.82,2022,85,4,Onsite,Other,Mid,PhD
3,Eve,31,Sales,53760,14,4.14,2022,102,1,Remote,Other,Mid,High School
4,Diana,23,Marketing,48063,5,3.46,2019,29,4,Hybrid,Female,Entry,PhD
5,Charlie,41,IT,74368,15,4.45,2018,107,3,Remote,Female,Senior,PhD
6,Bob,46,HR,31512,1,1.94,2022,77,8,Onsite,Female,Entry,High School
7,Alice,23,Marketing,114066,8,4.63,2021,90,14,Hybrid,Other,Manager,High School
8,Alice,25,Marketing,39054,10,3.98,2022,85,9,Remote,Female,Mid,Bachelor's
9,Alice,23,Sales,119245,11,2.21,2019,77,3,Hybrid,Other,Manager,PhD
10,Bob,31,Marketing,114622,18,2.42,2021,74,10,Remote,Female,Mid,Bachelor's
11,Bob,56,Marketing,74960,15,3.81,2019,78,6,Hybrid,Female,Entry,Bachelor's
12,Eve,36,IT,101583,10,1.51,2019,134,14,Onsite,Other,Mid,Bachelor's
13,Eve,45,Marketing,64213,7,2.56,2020,33,7,Remote,Other,Senior,Bachelor's
14,Bob,59,IT,73996,14,1.23,2021,11,7,Onsite,Female,Entry,Bachelor's
15,Diana,46,HR,116229,11,4.89,2020,84,2,Remote,Other,Mid,High School
16,Alice,44,Finance,111362,7,1.74,2021,158,7,Remote,Other,Manager,High School
17,Eve,40,Finance,114938,11,3.5,2022,168,14,Onsite,Other,Mid,Bachelor's
18,Bob,51,HR,96188,10,4.35,2021,171,7,Onsite,Female,Manager,High School
19,Eve,42,HR,33700,9,3.15,2022,181,4,Hybrid,Other,Mid,High School
20,Eve,44,Finance,110884,10,2.91,2019,124,4,Remote,Male,Manager,High School
21,Bob,31,Finance,115061,6,2.37,2018,37,13,Onsite,Female,Entry,Bachelor's
22,Alice,22,IT,69801,14,1.69,2021,103,11,Onsite,Other,Senior,PhD
23,Diana,27,Sales,105213,14,2.57,2018,94,13,Remote,Male,Entry,Master's
24,Diana,47,Sales,91287,9,2.26,2021,15,9,Hybrid,Male,Entry,High School
25,Alice,55,HR,102131,6,3.7,2019,47,4,Remote,Other,Manager,Master's
26,Diana,25,Finance,32820,1,1.94,2019,56,10,Onsite,Other,Senior,PhD
27,Diana,31,HR,80451,1,1.66,2021,51,6,Onsite,Male,Mid,PhD
28,Charlie,37,Finance,78638,6,2.2,2019,105,14,Onsite,Other,Entry,PhD
29,Diana,46,Sales,73414,9,3.02,2020,132,0,Onsite,Other,Manager,High School
30,Alice,48,Marketing,47829,8,1.88,2022,13,10,Onsite,Male,Senior,PhD
31,Charlie,50,IT,103155,1,4.73,2021,13,8,Remote,Male,Senior,Bachelor's
32,Charlie,27,HR,117215,3,3.31,2022,112,11,Remote,Female,Senior,High School
33,Diana,25,Sales,58340,18,3.42,2021,121,12,Hybrid,Male,Entry,Master's
34,Bob,38,Marketing,52312,15,3.14,2019,182,14,Remote,Male,Senior,Bachelor's
35,Diana,39,HR,84915,17,2.19,2019,0,1,Hybrid,Female,Senior,Bachelor's
36,Eve,31,IT,86628,4,3.17,2018,108,1,Remote,Other,Senior,Bachelor's
37,Charlie,47,HR,84535,17,1.64,2021,131,11,Remote,Male,Entry,Master's
38,Charlie,31,HR,45083,19,3.92,2018,49,14,Onsite,Male,Entry,High School
39,Eve,43,HR,43914,1,1.74,2021,39,5,Onsite,Other,Mid,Bachelor's
40,Alice,27,IT,46805,6,3.39,2022,174,4,Onsite,Male,Mid,Bachelor's
41,Eve,35,HR,67808,19,2.45,2022,95,12,Remote,Other,Entry,PhD
42,Alice,39,IT,76552,8,4.59,2022,144,14,Onsite,Male,Manager,High School
43,Diana,55,Sales,69121,4,3.07,2018,27,5,Hybrid,Male,Manager,Master's
